Year,Month,Day,Hour,Minute,DNI,Price,IAM
2022,1,1,0,0,0.0,3.64016334684,0.0
2022,1,1,1,0,0.0,7.93687471947,0.0
2022,1,1,2,0,0.0,16.0128632439,0.0
2022,1,1,3,0,0.0,40.5604567821,0.0
2022,1,1,4,0,0.0,31.5492300718,0.0
2022,1,1,5,0,0.0,45.0425344679,0.0
2022,1,1,6,0,0.0,48.2903110099,0.0
2022,1,1,7,0,31.007079854460724,43.8878345397,0.979351
2022,1,1,8,0,363.8751807023867,42.4614601502,0.954506
2022,1,1,9,0,760.9610968043387,46.6212301826,0.9184
2022,1,1,10,0,892.6455327587796,30.1273175163,0.869104
2022,1,1,11,0,943.9769231042594,17.8150656886,0.810623
2022,1,1,12,0,961.4600445005257,45.0688112426,0.77349
2022,1,1,13,0,955.7686790997901,56.3388265768,0.80163
2022,1,1,14,0,923.6766935297771,46.5733997519,0.869644
2022,1,1,15,0,842.2654426898823,47.5057462532,0.929722
2022,1,1,16,0,609.2487552555584,32.1502581227,1.0
2022,1,1,17,0,216.92698519429632,25.189588935,1.0
2022,1,1,18,0,0.0,43.9486714791,1.0
2022,1,1,19,0,0.0,34.5402321244,0.0
2022,1,1,20,0,0.0,32.5456192207,0.0
2022,1,1,21,0,0.0,51.583831412,0.0
2022,1,1,22,0,0.0,49.5842080943,0.0
2022,1,1,23,0,0.0,72.5732286088,0.0
2022,1,2,0,0,0.0,66.3529765486,0.0
2022,1,2,1,0,0.0,43.2929995114,0.0
2022,1,2,2,0,0.0,30.3426835959,0.0
2022,1,2,3,0,0.0,36.2859681507,0.0
2022,1,2,4,0,0.0,19.4142507588,0.0
2022,1,2,5,0,0.0,21.4908932881,0.0
2022,1,2,6,0,0.0,43.0945527283,0.0
2022,1,2,7,0,30.307504939937836,37.7207619346,0.0
2022,1,2,8,0,363.0333659775854,53.3778901961,0.955008
2022,1,2,9,0,760.9176301300112,56.6801977753,0.919174
2022,1,2,10,0,892.918602806102,65.5504873596,0.870242
2022,1,2,11,0,944.3815452185563,49.6955039589,0.812097
2022,1,2,12,0,961.9944586589188,41.7189452649,0.774776
2022,1,2,13,0,956.5043123662881,48.2019207825,0.802163
2022,1,2,14,0,924.8076601558658,56.9108398048,0.869726
2022,1,2,15,0,844.3987991420129,45.0195211689,0.92966
2022,1,2,16,0,615.096910421017,47.6642353158,1.0
2022,1,2,17,0,221.34120622268273,28.7571359389,1.0
2022,1,2,18,0,0.0,25.4788821854,1.0
2022,1,2,19,0,0.0,29.7537278669,0.0
2022,1,2,20,0,0.0,41.0324585878,0.0
2022,1,2,21,0,0.0,49.0125548124,0.0
2022,1,2,22,0,0.0,53.0774590056,0.0
2022,1,2,23,0,0.0,82.5323735968,0.0
2022,1,3,0,0,0.0,93.80505283,0.0
2022,1,3,1,0,0.0,69.9370340398,0.0
2022,1,3,2,0,0.0,65.8854956839,0.0
2022,1,3,3,0,0.0,49.9691124521,0.0
2022,1,3,4,0,0.0,48.9940377268,0.0
2022,1,3,5,0,0.0,45.5088558055,0.0
2022,1,3,6,0,0.0,56.7972433734,0.0
2022,1,3,7,0,7.521965235979373,30.5797048655,0.0
2022,1,3,8,0,304.37094435400275,13.358634947,0.955526
2022,1,3,9,0,725.1822022613745,23.9557972164,0.920132
2022,1,3,10,0,893.2590293904852,38.2964903651,0.870716
2022,1,3,11,0,944.8284860883332,27.4759891743,0.813642
2022,1,3,12,0,938.7901748043822,27.0244287746,0.776161
2022,1,3,13,0,915.7044353999644,10.7745647837,0.802791
