Year,Month,Day,Hour,Minute,DNI,Price,IAM
2022,1,1,0,0,0.0,39.7887247046,0.0
2022,1,1,1,0,0.0,38.975014766,0.0
2022,1,1,2,0,0.0,36.7778402647,0.0
2022,1,1,3,0,0.0,45.2993489827,0.0
2022,1,1,4,0,0.0,30.2673414008,0.0
2022,1,1,5,0,0.0,45.5109988104,0.0
2022,1,1,6,0,0.0,53.4672212213,0.0
2022,1,1,7,0,31.007079854460724,56.64070104,0.979351
2022,1,1,8,0,363.8751807023867,66.8285118741,0.954506
2022,1,1,9,0,760.9610968043387,51.6559435108,0.9184
2022,1,1,10,0,892.6455327587796,39.4529795918,0.869104
2022,1,1,11,0,943.9769231042594,49.7835918229,0.810623
2022,1,1,12,0,961.4600445005257,64.5984600769,0.77349
2022,1,1,13,0,955.7686790997901,63.4186968424,0.80163
2022,1,1,14,0,923.6766935297771,46.6870348942,0.869644
2022,1,1,15,0,842.2654426898823,45.5020649085,0.929722
2022,1,1,16,0,609.2487552555584,49.9635198104,1.0
2022,1,1,17,0,216.92698519429632,55.4619548596,1.0
2022,1,1,18,0,0.0,68.0178286752,1.0
2022,1,1,19,0,0.0,82.0349202697,0.0
2022,1,1,20,0,0.0,73.3005616157,0.0
2022,1,1,21,0,0.0,64.9086710226,0.0
2022,1,1,22,0,0.0,68.2083394777,0.0
2022,1,1,23,0,0.0,56.2785565731,0.0
2022,1,2,0,0,0.0,57.7574448301,0.0
2022,1,2,1,0,0.0,50.351117975,0.0
2022,1,2,2,0,0.0,49.2627701041,0.0
2022,1,2,3,0,0.0,48.4837173352,0.0
2022,1,2,4,0,0.0,51.5377503298,0.0
2022,1,2,5,0,0.0,52.2526943057,0.0
2022,1,2,6,0,0.0,47.6643738881,0.0
2022,1,2,7,0,30.307504939937836,60.2961248592,0.0
2022,1,2,8,0,363.0333659775854,50.5291253695,0.955008
2022,1,2,9,0,760.9176301300112,56.4162570703,0.919174
2022,1,2,10,0,892.918602806102,54.8026292283,0.870242
2022,1,2,11,0,944.3815452185563,38.891732322,0.812097
2022,1,2,12,0,961.9944586589188,18.447377598,0.774776
2022,1,2,13,0,956.5043123662881,25.8581941616,0.802163
2022,1,2,14,0,924.8076601558658,49.1895627686,0.869726
2022,1,2,15,0,844.3987991420129,48.69040815,0.92966
2022,1,2,16,0,615.096910421017,49.1862709147,1.0
2022,1,2,17,0,221.34120622268273,41.9956437727,1.0
2022,1,2,18,0,0.0,20.066518223,1.0
2022,1,2,19,0,0.0,39.0309531345,0.0
2022,1,2,20,0,0.0,24.3889574398,0.0
2022,1,2,21,0,0.0,29.6355291043,0.0
2022,1,2,22,0,0.0,17.7559549912,0.0
2022,1,2,23,0,0.0,47.7469851988,0.0
2022,1,3,0,0,0.0,31.0939392412,0.0
2022,1,3,1,0,0.0,19.1361558694,0.0
2022,1,3,2,0,0.0,32.9922390021,0.0
2022,1,3,3,0,0.0,53.2018803312,0.0
2022,1,3,4,0,0.0,77.0404465658,0.0
2022,1,3,5,0,0.0,96.3656065154,0.0
2022,1,3,6,0,0.0,108.827522503,0.0
2022,1,3,7,0,13.453166578679372,44.8286003422,0.0
2022,1,3,8,0,342.35116160437275,40.0290982202,0.955526
2022,1,3,9,0,757.2312181690445,51.5860318618,0.920132
2022,1,3,10,0,893.2590293904852,111.195159494,0.870716
2022,1,3,11,0,944.8284860883332,89.3438415454,0.813642
2022,1,3,12,0,956.8010652004323,73.4985363238,0.776161
2022,1,3,13,0,931.9662579890144,49.9836396312,0.802791
2022,1,3,14,0,872.6546441809492,45.6466502278,0.86987
2022,1,3,15,0,804.2259474213131,43.2092376919,0.929464
2022,1,3,16,0,612.4438845031277,28.152882352,1.0
2022,1,3,17,0,225.80470863298268,60.807513885,1.0
2022,1,3,18,0,0.0,67.6302101541,0.0
2022,1,3,19,0,0.0,68.5246953215,0.0
2022,1,3,20,0,0.0,72.7548154926,0.0
2022,1,3,21,0,0.0,75.6282114087,0.0
2022,1,3,22,0,0.0,60.1788794505,0.0
2022,1,3,23,0,0.0,53.3716105725,0.0
2022,1,4,0,0,0.0,58.3725138847,0.0
2022,1,4,1,0,0.0,64.266113329,0.0
2022,1,4,2,0,0.0,59.1910316765,0.0
2022,1,4,3,0,0.0,57.7094968683,0.0
2022,1,4,4,0,0.0,65.8560917046,0.0
2022,1,4,5,0,0.0,58.7999616965,0.0
2022,1,4,6,0,0.0,51.8516954787,0.0
2022,1,4,7,0,29.394848142221473,40.5080166037,0.0
2022,1,4,8,0,336.5052649368334,58.165690772,0.956058
2022,1,4,9,0,723.1895631935363,55.7476807564,0.920799
2022,1,4,10,0,864.9881946814442,59.0217631731,0.872644
2022,1,4,11,0,678.4401740701709,49.2554567699,0.815253
2022,1,4,12,0,357.96096686627743,45.0456828442,0.777645
2022,1,4,13,0,601.57475785052,49.2986250935,0.803513
2022,1,4,14,0,620.5392944632069,52.320434539,0.870076
2022,1,4,15,0,544.0950304637578,51.9719438536,0.929636
2022,1,4,16,0,627.0081942089461,56.8107137058,1.0
2022,1,4,17,0,230.30754143650162,40.1156676611,1.0
2022,1,4,18,0,0.0,48.6505484314,1.0
2022,1,4,19,0,0.0,44.4786311798,0.0
2022,1,4,20,0,0.0,36.7417120651,0.0
2022,1,4,21,0,0.0,49.1877337036,0.0
2022,1,4,22,0,0.0,43.067132333,0.0
2022,1,4,23,0,0.0,30.3084605194,0.0
2022,1,5,0,0,0.0,50.9592907066,0.0
2022,1,5,1,0,0.0,51.5395590355,0.0
2022,1,5,2,0,0.0,43.7232741341,0.0
2022,1,5,3,0,0.0,47.5863089399,0.0
2022,1,5,4,0,0.0,55.5820931953,0.0
2022,1,5,5,0,0.0,43.9091394725,0.0
2022,1,5,6,0,0.0,52.4219203166,0.0
2022,1,5,7,0,29.177784341294995,39.3073783004,0.0
2022,1,5,8,0,342.18258563838674,55.9758141383,0.956604
2022,1,5,9,0,348.20440288578317,37.5395576628,0.921646
2022,1,5,10,0,169.7634261586279,30.3548899048,0.873904
2022,1,5,11,0,574.7453909604387,3.29578964056,0.816929
2022,1,5,12,0,602.0354248333865,28.425614892,0.779223
2022,1,5,13,0,551.9558412500536,36.4386611868,0.804329
2022,1,5,14,0,814.3359408429512,50.1498567881,0.870344
2022,1,5,15,0,822.4399196358208,64.8481097228,0.929674
2022,1,5,16,0,633.0460874771185,74.3462334513,1.0
2022,1,5,17,0,234.84012587707943,67.7977179012,1.0
2022,1,5,18,0,0.0,49.4359760174,1.0
2022,1,5,19,0,0.0,37.4384757397,0.0
2022,1,5,20,0,0.0,42.1216687584,0.0
2022,1,5,21,0,0.0,29.6257095592,0.0
2022,1,5,22,0,0.0,13.1930703744,0.0
2022,1,5,23,0,0.0,26.1679819619,0.0
2022,1,6,0,0,0.0,50.1131724847,0.0
2022,1,6,1,0,0.0,74.0114105113,0.0
2022,1,6,2,0,0.0,78.5645354532,0.0
2022,1,6,3,0,0.0,77.3033999251,0.0
2022,1,6,4,0,0.0,47.8700986266,0.0
2022,1,6,5,0,0.0,50.0930717345,0.0
2022,1,6,6,0,0.0,65.2086929645,0.0
2022,1,6,7,0,29.11937893390014,74.399406065,0.0
2022,1,6,8,0,358.4746247387851,49.562252652,0.957164
2022,1,6,9,0,747.7051801881794,65.0903557375,0.922515
2022,1,6,10,0,882.5048980127256,69.6241533711,0.8752
2022,1,6,11,0,929.1998648189774,42.5616034117,0.818665
2022,1,6,12,0,884.8814284855912,22.3900328514,0.780892
2022,1,6,13,0,886.5196139486468,25.8321480425,0.805237
2022,1,6,14,0,885.3157398977792,34.7004927763,0.870675
2022,1,6,15,0,818.3621353183687,54.7972344825,0.929745
2022,1,6,16,0,639.1227730478579,42.7778110171,1.0
2022,1,6,17,0,239.39329097466643,26.0416908008,1.0
2022,1,6,18,0,0.0,23.4058606676,1.0
2022,1,6,19,0,0.0,36.2137016474,0.0
2022,1,6,20,0,0.0,36.8249268796,0.0
2022,1,6,21,0,0.0,43.7821647581,0.0
2022,1,6,22,0,0.0,48.5353037349,0.0
2022,1,6,23,0,0.0,54.3302372374,0.0
2022,1,7,0,0,0.0,73.4469085206,0.0
2022,1,7,1,0,0.0,98.3457614815,0.0
2022,1,7,2,0,0.0,81.0230395943,0.0
2022,1,7,3,0,0.0,53.8237754433,0.0
2022,1,7,4,0,0.0,50.5770469783,0.0
2022,1,7,5,0,0.0,66.1729826672,0.0
2022,1,7,6,0,0.0,59.9481120586,0.0
2022,1,7,7,0,0.0,47.0334884763,0.0
2022,1,7,8,0,313.77401228748886,41.4167659618,0.957735
2022,1,7,9,0,743.096784132616,50.6204593297,0.923551
2022,1,7,10,0,895.2846136874296,60.9968791615,0.875854
2022,1,7,11,0,947.0241067310087,67.431109602,0.82046
2022,1,7,12,0,965.1375448620233,59.4346154425,0.78265
2022,1,7,13,0,938.3546491071974,45.3294102916,0.806237
2022,1,7,14,0,711.0193141721478,58.1991669015,0.871068
2022,1,7,15,0,428.4682804164361,55.3383964254,0.929851
2022,1,7,16,0,415.68663011584886,53.8165560016,1.0
2022,1,7,17,0,243.95829473768012,46.6688079811,1.0
2022,1,7,18,0,0.0,23.2981152285,1.0
2022,1,7,19,0,0.0,41.3478404553,0.0
2022,1,7,20,0,0.0,38.2484467356,0.0
2022,1,7,21,0,0.0,48.6831548439,0.0
2022,1,7,22,0,0.0,60.138012532,0.0
2022,1,7,23,0,0.0,52.4079404058,0.0
2022,1,8,0,0,0.0,58.7285897386,0.0
2022,1,8,1,0,0.0,64.5774099477,0.0
2022,1,8,2,0,0.0,63.4702261678,0.0
2022,1,8,3,0,0.0,59.1307628205,0.0
2022,1,8,4,0,0.0,49.0231961579,0.0
2022,1,8,5,0,0.0,57.9870993958,0.0
2022,1,8,6,0,0.0,70.357436032,0.0
2022,1,8,7,0,29.482746456844655,9.48499399622,0.0
2022,1,8,8,0,363.51582582995064,61.2604768064,0.958318
2022,1,8,9,0,763.7073211011907,62.8212867064,0.924312
2022,1,8,10,0,895.9529380584771,79.5920046922,0.877892
2022,1,8,11,0,947.6702822749717,77.779130383,0.822309
2022,1,8,12,0,965.8527847398891,51.2788338336,0.784494
2022,1,8,13,0,961.5100950007459,41.436235724,0.807326
2022,1,8,14,0,932.2353049454093,37.9492879891,0.871524
2022,1,8,15,0,858.0070110046571,44.420571347,0.929991
2022,1,8,16,0,651.3474437782536,32.6166539203,1.0
2022,1,8,17,0,248.5268415135699,21.256001182,1.0
2022,1,8,18,0,0.0,27.9153326632,1.0
2022,1,8,19,0,0.0,40.4970982061,0.0
2022,1,8,20,0,0.0,47.5314102631,0.0
2022,1,8,21,0,0.0,58.4605135159,0.0
2022,1,8,22,0,0.0,50.4118420694,0.0
2022,1,8,23,0,0.0,51.9231832951,0.0
2022,1,9,0,0,0.0,56.6936811393,0.0
2022,1,9,1,0,0.0,43.9246529672,0.0
2022,1,9,2,0,0.0,40.3750910654,0.0
2022,1,9,3,0,0.0,27.3880508377,0.0
2022,1,9,4,0,0.0,30.9738700233,0.0
2022,1,9,5,0,0.0,8.65404813209,0.0
2022,1,9,6,0,0.0,18.1150771891,0.0
2022,1,9,7,0,29.909537413656317,-4.15760944416,0.0
2022,1,9,8,0,364.5206658055135,39.2789392507,0.958911
2022,1,9,9,0,764.6772818897043,29.3864329028,0.925238
2022,1,9,10,0,896.6837458148254,36.7624992508,0.879284
2022,1,9,11,0,948.3531387365424,42.3349850861,0.82421
2022,1,9,12,0,966.5940934398084,50.8448419045,0.786419
2022,1,9,13,0,962.4295670271415,56.8731407919,0.808504
2022,1,9,14,0,933.5600845539741,59.3996187595,0.872041
2022,1,9,15,0,860.372199610835,66.6492292761,0.930164
2022,1,9,16,0,657.4742326864057,62.4111236323,1.0
2022,1,9,17,0,253.09109762264757,68.637380203,1.0
2022,1,9,18,0,0.0,66.3809114072,1.0
2022,1,9,19,0,0.0,76.8479056722,0.0
2022,1,9,20,0,0.0,70.0226327153,0.0
2022,1,9,21,0,0.0,52.4020980948,0.0
2022,1,9,22,0,0.0,63.9695293769,0.0
2022,1,9,23,0,0.0,67.5845189777,0.0
2022,1,10,0,0,0.0,75.3973119309,0.0
2022,1,10,1,0,0.0,77.939411732,0.0
2022,1,10,2,0,0.0,65.6826769824,0.0
2022,1,10,3,0,0.0,52.6228812302,0.0
2022,1,10,4,0,0.0,51.3178200849,0.0
2022,1,10,5,0,0.0,46.7644405215,0.0
2022,1,10,6,0,0.0,50.6433982498,0.0
2022,1,10,7,0,30.505060131554863,70.3568863326,0.982387
2022,1,10,8,0,365.79493022693475,79.0316664881,0.959514
2022,1,10,9,0,742.5682370913337,83.2326671062,0.92618
2022,1,10,10,0,874.2562475843359,-4.02846109085,0.880705
2022,1,10,11,0,949.0714049151732,84.5159037972,0.826159
2022,1,10,12,0,967.360165167079,62.2684667263,0.788423
2022,1,10,13,0,963.3693383084671,66.10499037,0.809767
2022,1,10,14,0,918.4158020143662,85.9436593942,0.87262
2022,1,10,15,0,815.1180214520334,-0.692842365483,0.930372
2022,1,10,16,0,632.4486189033582,6.96373151887,1.0
2022,1,10,17,0,257.64370199751204,67.6705317241,1.0
2022,1,10,18,0,0.0,56.3103965081,0.0
2022,1,10,19,0,0.0,60.6653183195,0.0
2022,1,10,20,0,0.0,63.5979347686,0.0
2022,1,10,21,0,0.0,40.7710817735,0.0
2022,1,10,22,0,0.0,38.3814438458,0.0
2022,1,10,23,0,0.0,20.3186273273,0.0
2022,1,11,0,0,0.0,9.10900735623,0.0
2022,1,11,1,0,0.0,7.8455617924,0.0
2022,1,11,2,0,0.0,7.12531059539,0.0
2022,1,11,3,0,0.0,25.6016857702,0.0
2022,1,11,4,0,0.0,24.3740133306,0.0
2022,1,11,5,0,0.0,41.2439614786,0.0
2022,1,11,6,0,0.0,48.7886268921,0.0
2022,1,11,7,0,31.274790956806456,53.2683753307,0.982754
2022,1,11,8,0,367.34246368851467,48.7354549404,0.960126
2022,1,11,9,0,767.0356355150718,52.5332583665,0.927138
2022,1,11,10,0,898.3268259455529,49.9916087238,0.882151
2022,1,11,11,0,949.8237350364855,50.4368026752,0.828155
2022,1,11,12,0,968.1496557804168,43.0799791417,0.790501
2022,1,11,13,0,964.3278517801076,22.9382421722,0.811115
2022,1,11,14,0,903.2663000661598,26.5090290049,0.87326
2022,1,11,15,0,832.1533861899877,0.45130143567,0.930614
2022,1,11,16,0,669.7079228437435,18.3961035883,1.0
2022,1,11,17,0,262.17776884592854,39.2411623144,1.0
2022,1,11,18,0,0.0,28.457302368,1.0
2022,1,11,19,0,0.0,30.6963808055,0.0
2022,1,11,20,0,0.0,1.1282527848,0.0
2022,1,11,21,0,0.0,26.0249094045,0.0
2022,1,11,22,0,0.0,38.6261745806,0.0
2022,1,11,23,0,0.0,24.6275847235,0.0
2022,1,12,0,0,0.0,13.2168544513,0.0
2022,1,12,1,0,0.0,13.0195526508,0.0
2022,1,12,2,0,0.0,17.8156612894,0.0
2022,1,12,3,0,0.0,21.3832525851,0.0
2022,1,12,4,0,0.0,40.2289399503,0.0
2022,1,12,5,0,0.0,51.6348679315,0.0
2022,1,12,6,0,0.0,46.1150662887,0.0
2022,1,12,7,0,32.22534894336386,54.1810666662,0.983126
2022,1,12,8,0,218.92069610217283,59.852457464,0.960747
2022,1,12,9,0,570.9234523338068,2.55672145265,0.928109
2022,1,12,10,0,846.1728607748477,40.8894543769,0.883622
2022,1,12,11,0,944.7936748753236,44.4793793592,0.830193
2022,1,12,12,0,948.4675877521227,57.0215691892,0.792651
2022,1,12,13,0,913.6514831455734,46.7697052253,0.812544
2022,1,12,14,0,906.48200250981,48.7261780421,0.87396
2022,1,12,15,0,867.559311154147,74.8102560235,0.930889
2022,1,12,16,0,675.7970071521237,73.5209132711,1.0
2022,1,12,17,0,266.6868838388619,76.1547364656,1.0
2022,1,12,18,0,0.0,62.9199148789,1.0
2022,1,12,19,0,0.0,72.3959591454,0.0
2022,1,12,20,0,0.0,66.0258740375,0.0
2022,1,12,21,0,0.0,89.1905896327,0.0
2022,1,12,22,0,0.0,100.660741491,0.0
2022,1,12,23,0,0.0,92.3509384389,0.0
2022,1,13,0,0,0.0,66.3594028705,0.0
2022,1,13,1,0,0.0,48.1496693459,0.0
2022,1,13,2,0,0.0,42.405120745,0.0
2022,1,13,3,0,0.0,49.2382177577,0.0
2022,1,13,4,0,0.0,30.2429030653,0.0
2022,1,13,5,0,0.0,24.1901240047,0.0
2022,1,13,6,0,0.0,33.6519662711,0.0
2022,1,13,7,0,21.26381649379436,43.1685440278,0.0
2022,1,13,8,0,339.9708872276261,5.02157177086,0.961375
2022,1,13,9,0,720.196288859426,-3.52332819358,0.929227
2022,1,13,10,0,869.559820343371,2.95287421489,0.885115
2022,1,13,11,0,942.446514429568,16.5278240888,0.832271
2022,1,13,12,0,943.2303917419346,34.7623766211,0.794868
2022,1,13,13,0,943.1491971353264,39.8206814885,0.814053
2022,1,13,14,0,776.8730711136659,29.5594442283,0.874588
2022,1,13,15,0,682.7294525483724,23.2302867869,0.931198
2022,1,13,16,0,651.3161966862215,8.5649564654,1.0
2022,1,13,17,0,271.16509764633196,27.4769250438,1.0
2022,1,13,18,0,0.0,36.0968724445,1.0
2022,1,13,19,0,0.0,54.6583036288,0.0
2022,1,13,20,0,0.0,59.9245148081,0.0
2022,1,13,21,0,0.0,55.2287937345,0.0
2022,1,13,22,0,0.0,49.6083936935,0.0
2022,1,13,23,0,0.0,47.0883709795,0.0
2022,1,14,0,0,0.0,56.3540770037,0.0
